,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,ConsumptionPattern,Effect,ConditionType,Condition,Sex,AgeCategory,AgeGroup,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,LocationID,ClassID,EffectID,ConditionID,ConsumptionID,Stratification1ID,AgeCategoryID,Stratification2ID,DataValueTypeID
92700,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Acute     ,Occupational and machine injuries,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,134,134.1,0,ACUTE,HARMEFF,MACHOB,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
93015,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,Oropharyngeal cancer,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,365,364.7,0,CHRONIC,HARMEFF,OROCAN,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
94055,2006,2010,US,National,ARDI,Excessive Use,Beneficial Effects,Chronic   ,"Low birth weight, prematurity, IUGR, death",Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,0,0.0,0,CHRONIC,BENEFF,LBWPID,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
94606,2006,2010,US,National,ARDI,Excessive Use,Beneficial Effects,Chronic   ,Portal hypertension,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,0,0.0,0,CHRONIC,BENEFF,PORHYP,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
95685,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Acute     ,Suicide by and exposure to alcohol,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,42,42.0,0,ACUTE,HARMEFF,ALCSUC,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
96100,2006,2010,US,National,ARDI,Excessive Use,Beneficial Effects,Chronic   ,Alcohol polyneuropathy,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,0,0.0,0,CHRONIC,BENEFF,ALCPOL,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
97998,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,Hypertension,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,1603,1603.4,0,CHRONIC,HARMEFF,HYPERT,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
98552,2006,2010,US,National,ARDI,Excessive Use,Beneficial Effects,Acute     ,Firearm injuries,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,0,0.0,0,ACUTE,BENEFF,FIREAR,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
100141,2006,2010,US,National,ARDI,Excessive Use,Beneficial Effects,Acute     ,Hypothermia,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,0,0.0,0,ACUTE,BENEFF,HYPOTH,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
100999,2006,2010,US,National,ARDI,Excessive Use,Beneficial Effects,Acute     ,Fall injuries,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,0,0.0,0,ACUTE,BENEFF,FALLSS,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
101151,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Chronic   ,Gastroesophageal hemorrhage,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,31,31.0,0,CHRONIC,HARMEFF,GASHEM,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
101589,2006,2010,US,National,ARDI,Excessive Use,Harmful Effects,Acute     ,Water transport,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,79,78.7,0,ACUTE,HARMEFF,WATTRA,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
101801,2006,2010,US,National,ARDI,Excessive Use,Beneficial Effects,Acute     ,Air-space transport,Overall,Other,All Ages,number of alcohol attributable deaths,Annual Average,0,0.0,0,ACUTE,BENEFF,AIRTRA,EXCUSE,OVR,AGECAT1,AGEGRP0,AnnAvg
